option_id,person_id,identity_key,status,identity_scope,rationale,editor_note
"idopt-0077","nt-people-0077","David@Rut.4.17-Rev=H1732","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0078","nt-people-0078","Demas@Col.4.14-Phm=G1214","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0079","nt-people-0079","Demetrius@Act.19.24-3Jn=G1216","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0080","nt-people-0080","Dionysius@Act.17.34=G1354","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0081","nt-people-0081","Diotrephes@3Jn.1.9=G1361","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0082","nt-people-0082","Drusilla@Act.24.24=G1409","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0083","nt-people-0083","Eber@Gen.10.21-Luk=H5677G","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0084","nt-people-0084","Eleazar@Mat.1.15=G1648","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0085","nt-people-0085","Eliakim@Luk.3.30=G1662H","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0086","nt-people-0086","Eliakim@Mat.1.13=G1662G","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0087","nt-people-0087","Eliezer@Luk.3.29=G1663","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0088","nt-people-0088","Elijah@1Ki.17.1-Jas=H0452G","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0089","nt-people-0089","Elisha@1Ki.19.16-Luk=H0477","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0090","nt-people-0090","Eliud@Mat.1.14-=G1664","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0091","nt-people-0091","Elizabeth@Luk.1.5-=G1665G","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0092","nt-people-0092","Elmadam@Luk.3.28=G1678","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0093","nt-people-0093","Enoch@Gen.5.18-Jud=H2585H","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0094","nt-people-0094","Enosh@Gen.4.26-Luk=H0583","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0095","nt-people-0095","Epaenetus@Rom.16.5=G1866","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0096","nt-people-0096","Epaphras@Col.1.7-Phm=G1889","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0097","nt-people-0097","Epaphroditus@Php.2.25-=G1891","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0098","nt-people-0098","Er@Luk.3.28=G2262","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0099","nt-people-0099","Erastus@Act.19.22-2Ti=G2037","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0100","nt-people-0100","Esau@Gen.25.25-Heb=H6215G","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0101","nt-people-0101","Esli@Luk.3.25=G2069","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0102","nt-people-0102","Eubulus@2Ti.4.21=G2103","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0103","nt-people-0103","Eunice@2Ti.1.5=G2131G","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0104","nt-people-0104","Euodia@Php.4.2=G2136","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0105","nt-people-0105","Eutychus@Act.20.9=G2161","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0106","nt-people-0106","Eve@Gen.3.20-1Ti=H2332","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
