passage,testament
"1KI 1:47","ot"
"1KI 1:48","ot"
"1KI 1:49","ot"
"1KI 1:5","ot"
"1KI 1:50","ot"
"1KI 1:51","ot"
"1KI 1:52","ot"
"1KI 1:53","ot"
"1KI 1:6","ot"
"1KI 1:7","ot"
"1KI 1:8","ot"
"1KI 1:9","ot"
"1KI 10:1","ot"
"1KI 10:10","ot"
"1KI 10:11","ot"
"1KI 10:13","ot"
"1KI 10:14","ot"
"1KI 10:16","ot"
"1KI 10:2","ot"
"1KI 10:21","ot"
"1KI 10:22","ot"
"1KI 10:23","ot"
"1KI 10:24","ot"
"1KI 10:26","ot"
"1KI 10:28","ot"
"1KI 10:29","ot"
"1KI 10:3","ot"
"1KI 10:4","ot"
"1KI 10:9","ot"
"1KI 11:1","ot"
"1KI 11:11","ot"
"1KI 11:12","ot"
"1KI 11:13","ot"
"1KI 11:14","ot"
"1KI 11:15","ot"
"1KI 11:16","ot"
"1KI 11:17","ot"
"1KI 11:19","ot"
"1KI 11:2","ot"
"1KI 11:20","ot"
"1KI 11:21","ot"
"1KI 11:23","ot"
"1KI 11:24","ot"
"1KI 11:25","ot"
"1KI 11:26","ot"
"1KI 11:27","ot"
"1KI 11:28","ot"
"1KI 11:29","ot"
"1KI 11:30","ot"
"1KI 11:31","ot"
"1KI 11:32","ot"
"1KI 11:33","ot"
"1KI 11:34","ot"
"1KI 11:36","ot"
"1KI 11:37","ot"
"1KI 11:38","ot"
"1KI 11:39","ot"
"1KI 11:4","ot"
"1KI 11:40","ot"
"1KI 11:41","ot"
"1KI 11:42","ot"
"1KI 11:43","ot"
"1KI 11:5","ot"
"1KI 11:6","ot"
"1KI 11:7","ot"
"1KI 11:9","ot"
"1KI 12:1","ot"
"1KI 12:12","ot"
"1KI 12:15","ot"
"1KI 12:16","ot"
"1KI 12:17","ot"
"1KI 12:18","ot"
"1KI 12:19","ot"
"1KI 12:2","ot"
"1KI 12:20","ot"
"1KI 12:21","ot"
"1KI 12:22","ot"
"1KI 12:23","ot"
"1KI 12:24","ot"
"1KI 12:25","ot"
"1KI 12:26","ot"
"1KI 12:27","ot"
"1KI 12:28","ot"
"1KI 12:3","ot"
"1KI 12:31","ot"
"1KI 12:32","ot"
"1KI 12:33","ot"
"1KI 12:6","ot"
"1KI 13:1","ot"
"1KI 13:12","ot"
"1KI 13:14","ot"
"1KI 13:2","ot"
"1KI 13:21","ot"
"1KI 13:33","ot"
"1KI 13:34","ot"
"1KI 13:4","ot"
"1KI 14:1","ot"
"1KI 14:10","ot"
"1KI 14:11","ot"
"1KI 14:13","ot"
"1KI 14:14","ot"
"1KI 14:15","ot"
"1KI 14:16","ot"
"1KI 14:17","ot"
"1KI 14:18","ot"
"1KI 14:19","ot"
"1KI 14:2","ot"
"1KI 14:20","ot"
"1KI 14:21","ot"
"1KI 14:22","ot"
"1KI 14:24","ot"
"1KI 14:25","ot"
"1KI 14:26","ot"
"1KI 14:27","ot"
"1KI 14:29","ot"
"1KI 14:30","ot"
"1KI 14:31","ot"
"1KI 14:4","ot"
"1KI 14:5","ot"
"1KI 14:6","ot"
"1KI 14:7","ot"
"1KI 14:8","ot"
"1KI 15:1","ot"
"1KI 15:10","ot"
"1KI 15:11","ot"
"1KI 15:13","ot"
"1KI 15:14","ot"
"1KI 15:16","ot"
"1KI 15:17","ot"
"1KI 15:18","ot"
"1KI 15:19","ot"
"1KI 15:2","ot"
"1KI 15:20","ot"
"1KI 15:21","ot"
"1KI 15:22","ot"
"1KI 15:23","ot"
"1KI 15:24","ot"
"1KI 15:25","ot"
"1KI 15:26","ot"
