person_id,canonical_chinese,canonical_greek,latinized,sex,status,identity_group,testament,nt_ref_count,ot_ref_count,bible_ref_count
"person-002376","拉法","","Raphah","male","accepted","ot-idgrp-otc-2106","ot","0","2","2"
"person-002377","拉孚","","Raphu","male","accepted","ot-idgrp-otc-2107","ot","0","1","1"
"person-002378","利亚雅","","Reaiah","male","accepted","ot-idgrp-otc-2108","ot","0","1","1"
"person-002379","利亚雅","","Reaiah","male","accepted","ot-idgrp-otc-2109","ot","0","2","2"
"person-002380","利巴","","Reba","male","accepted","ot-idgrp-otc-2110","ot","0","2","2"
"person-002381","利甲","","Rechab","male","accepted","ot-idgrp-otc-2112","ot","0","12","12"
"person-002382","利甲","","Rechab","male","accepted","ot-idgrp-otc-2113","ot","0","4","4"
"person-002383","利甲","","Rechab","male","accepted","ot-idgrp-otc-2114","ot","0","1","1"
"person-002384","利来雅","","Reelaiah","male","accepted","ot-idgrp-otc-2115","ot","0","2","2"
"person-002385","利坚米勒","","Regem-melech","male","accepted","ot-idgrp-otc-2116","ot","0","1","1"
"person-002386","利健","","Regem","male","accepted","ot-idgrp-otc-2117","ot","0","1","1"
"person-002387","利哈比雅","","Rehabiah","male","accepted","ot-idgrp-otc-2118","ot","0","3","3"
"person-002388","利合","","Rehob","male","accepted","ot-idgrp-otc-2119","ot","0","2","2"
"person-002389","利合","","Rehob","male","accepted","ot-idgrp-otc-2120","ot","0","1","1"
"person-002390","利宏","","Rehum","male","accepted","ot-idgrp-otc-2122","ot","0","5","5"
"person-002391","利宏","","Rehum","male","accepted","ot-idgrp-otc-2123","ot","0","4","4"
"person-002392","利宏","","Rehum","male","accepted","ot-idgrp-otc-2124","ot","0","1","1"
"person-002393","利宏","","Rehum","male","accepted","ot-idgrp-otc-2125","ot","0","1","1"
"person-002394","利以","","Rei","male","accepted","ot-idgrp-otc-2126","ot","0","1","1"
"person-002395","利肯","","Rekem","male","accepted","ot-idgrp-otc-2127","ot","0","2","2"
"person-002396","利金","","Rekem","male","accepted","ot-idgrp-otc-2128","ot","0","2","2"
"person-002397","利玛利","","Remaliah","male","accepted","ot-idgrp-otc-2129","ot","0","13","13"
"person-002398","利法益","","Rephael","male","accepted","ot-idgrp-otc-2130","ot","0","1","1"
"person-002399","利法","","Rephah","male","accepted","ot-idgrp-otc-2131","ot","0","1","1"
"person-002400","利法雅","","Rephaiah","male","accepted","ot-idgrp-otc-2132","ot","0","1","1"
"person-002401","利法雅","","Rephaiah","male","accepted","ot-idgrp-otc-2133","ot","0","1","1"
"person-002402","利法雅","","Rephaiah","male","accepted","ot-idgrp-otc-2134","ot","0","1","1"
"person-002403","利法雅","","Rephaiah","male","accepted","ot-idgrp-otc-2135","ot","0","1","1"
"person-002404","利悉","","Resheph","male","accepted","ot-idgrp-otc-2136","ot","0","1","1"
"person-002405","吕便","","Reuben","male","accepted","ot-idgrp-otc-2138","ot","0","85","85"
"person-002406","流珥","","Reuel","male","accepted","ot-idgrp-otc-2139","ot","0","1","1"
"person-002407","流珥","","Reuel","male","accepted","ot-idgrp-otc-2140","ot","0","6","6"
"person-002408","流玛","","Reumah","female","accepted","ot-idgrp-otc-2141","ot","0","1","1"
"person-002409","利汛","","Rezin","male","accepted","ot-idgrp-otc-2142","ot","0","9","9"
"person-002410","利汛","","Rezin","male","accepted","ot-idgrp-otc-2143","ot","0","2","2"
"person-002411","利逊","","Rezon","male","accepted","ot-idgrp-otc-2144","ot","0","1","1"
"person-002412","利拜","","Ribai","male","accepted","ot-idgrp-otc-2145","ot","0","2","2"
"person-002413","临门","","Rimmon","male","accepted","ot-idgrp-otc-2146","ot","0","3","3"
"person-002414","林拿","","Rinnah","male","accepted","ot-idgrp-otc-2147","ot","0","1","1"
"person-002415","利法","","Riphath","male","accepted","ot-idgrp-otc-2148","ot","0","2","2"
"person-002416","利写","","Rizia","male","accepted","ot-idgrp-otc-2149","ot","0","1","1"
"person-002417","利斯巴","","Rizpah","female","accepted","ot-idgrp-otc-2150","ot","0","4","4"
"person-002418","罗迦","","Rohgah","male","accepted","ot-idgrp-otc-2151","ot","0","1","1"
"person-002419","罗幔提·以谢","","Romamti-ezer","male","accepted","ot-idgrp-otc-2152","ot","0","2","2"
"person-002420","罗实","","Rosh","male","accepted","ot-idgrp-otc-2153","ot","0","2","2"
"person-002421","撒弗他","","Sabtah","male","accepted","ot-idgrp-otc-2155","ot","0","2","2"
"person-002422","撒弗提迦","","Sabteca","male","accepted","ot-idgrp-otc-2156","ot","0","2","2"
"person-002423","沙甲","","Sachar","male","accepted","ot-idgrp-otc-2157","ot","0","1","1"
"person-002424","沙迦","","Sachia","male","accepted","ot-idgrp-otc-2158","ot","0","1","1"
"person-002425","撒来","","Sallai","male","accepted","ot-idgrp-otc-2159","ot","0","1","1"
"person-002426","撒路","","Sallu","male","accepted","ot-idgrp-otc-2160","ot","0","1","1"
"person-002427","撒路","","Sallu","male","accepted","ot-idgrp-otc-2161","ot","0","1","1"
"person-002428","撒路","","Sallu","male","accepted","ot-idgrp-otc-2162","ot","0","2","2"
"person-002429","萨玛","","Salma","male","accepted","ot-idgrp-otc-2163","ot","0","2","2"
"person-002430","撒路","","Salu","male","accepted","ot-idgrp-otc-2165","ot","0","1","1"
