name_id,person_id,name_text,language,source_scope,status
"name-0322","nt-people-0129","Hezekiah","en","canonical","accepted"
"name-0323","nt-people-0129","חִזְקִיָּהוּ","en","canonical","pending"
"name-0324","nt-people-0129","יְחִזְקִיָּה","en","variant","pending"
"name-0325","nt-people-0129","Ἐζεκίας","grc","alias","accepted"
"name-0326","nt-people-0130","Hezron","en","canonical","accepted"
"name-0327","nt-people-0130","חֶצְרוֹן","en","canonical","pending"
"name-0328","nt-people-0130","חֶצְרוֹנִי","en","alias","pending"
"name-0329","nt-people-0130","Ἐσρώμ","grc","alias","accepted"
"name-0330","nt-people-0131","Hosea","en","canonical","accepted"
"name-0331","nt-people-0131","הוֹשֵׁעַ","en","canonical","pending"
"name-0332","nt-people-0131","Ὡσηέ","grc","alias","accepted"
"name-0333","nt-people-0132","Hymenaeus","en","canonical","accepted"
"name-0334","nt-people-0132","Ὑμεναῖος","en","canonical","accepted"
"name-0335","nt-people-0133","Isaac","en","canonical","accepted"
"name-0336","nt-people-0133","יִצְחָק","en","canonical","pending"
"name-0337","nt-people-0133","יִשְׂחָק","en","variant","pending"
"name-0338","nt-people-0133","Ἰσαάκ","grc","alias","accepted"
"name-0339","nt-people-0134","Isaiah","en","canonical","accepted"
"name-0340","nt-people-0134","יְשַׁעְיָ֫הוּ","en","canonical","pending"
"name-0341","nt-people-0134","Ἡσαΐας","grc","alias","accepted"
"name-0342","nt-people-0135","Israel","en","canonical","accepted"
"name-0343","nt-people-0135","יִשְׂרָאֵל","en","canonical","pending"
"name-0344","nt-people-0135","יַעֲקֹב","en","canonical","pending"
"name-0345","nt-people-0135","יְשֻׁרוּן","en","canonical","pending"
"name-0346","nt-people-0135","יִשְׂרְאֵלִי","en","alias","pending"
"name-0347","nt-people-0135","יִשְׂרְאֵלִית","en","alias","pending"
"name-0348","nt-people-0135","Ἰσραήλ","grc","alias","accepted"
"name-0349","nt-people-0135","Ἰσραήλ","en","alias","accepted"
"name-0350","nt-people-0135","Ἰακώβ","en","canonical","accepted"
"name-0351","nt-people-0135","Ἰσραηλίτης","en","alias","accepted"
"name-0352","nt-people-0136","Issachar","en","canonical","accepted"
"name-0353","nt-people-0136","יִשָּׂשכָר","en","canonical","pending"
"name-0354","nt-people-0136","Ἰσαχάρ","grc","alias","accepted"
"name-0355","nt-people-0137","Jacob","en","canonical","accepted"
"name-0356","nt-people-0137","Ἰακώβ","en","canonical","accepted"
"name-0357","nt-people-0138","Jairus","en","canonical","accepted"
"name-0358","nt-people-0138","Ἰάειρος","en","canonical","accepted"
"name-0359","nt-people-0139","Jambres","en","canonical","accepted"
"name-0360","nt-people-0139","Ἰαμβρῆς","en","canonical","accepted"
"name-0361","nt-people-0140","James","en","canonical","accepted"
