assertion_id,subject_person_id,object_person_id,relation_type,relation_subtype,direction,status,confidence,editorial_status
"asrt-0111","nt-people-0048","nt-people-0086","kinship","child","directed","inactive","0.8","pending"
"asrt-0112","nt-people-0087","nt-people-0169","kinship","parent","directed","inactive","0.8","pending"
"asrt-0113","nt-people-0180","nt-people-0087","kinship","child","directed","inactive","0.8","pending"
"asrt-0114","nt-people-0090","nt-people-0009","kinship","parent","directed","inactive","0.8","pending"
"asrt-0115","nt-people-0084","nt-people-0090","kinship","child","directed","inactive","0.8","pending"
"asrt-0116","nt-people-0166","nt-people-0091","kinship","child","directed","inactive","0.8","pending"
"asrt-0117","nt-people-0091","nt-people-0367","kinship","partner","undirected","inactive","0.8","pending"
"asrt-0118","nt-people-0092","nt-people-0098","kinship","parent","directed","inactive","0.8","pending"
"asrt-0119","nt-people-0072","nt-people-0092","kinship","child","directed","inactive","0.8","pending"
"asrt-0120","nt-people-0093","nt-people-0146","kinship","parent","directed","inactive","0.8","pending"
"asrt-0121","nt-people-0240","nt-people-0093","kinship","child","directed","inactive","0.8","pending"
"asrt-0122","nt-people-0094","nt-people-0316","kinship","parent","directed","inactive","0.8","pending"
"asrt-0123","nt-people-0196","nt-people-0094","kinship","child","directed","inactive","0.8","pending"
"asrt-0124","nt-people-0098","nt-people-0180","kinship","parent","directed","inactive","0.8","pending"
"asrt-0125","nt-people-0092","nt-people-0098","kinship","child","directed","inactive","0.8","pending"
"asrt-0126","nt-people-0100","nt-people-0133","kinship","parent","directed","inactive","0.8","pending"
"asrt-0127","nt-people-0100","nt-people-0294","kinship","parent","directed","inactive","0.8","pending"
"asrt-0128","nt-people-0198","nt-people-0100","kinship","child","directed","inactive","0.8","pending"
"asrt-0129","nt-people-0100","nt-people-0135","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0130","nt-people-0101","nt-people-0245","kinship","parent","directed","inactive","0.8","pending"
"asrt-0131","nt-people-0248","nt-people-0101","kinship","child","directed","inactive","0.8","pending"
"asrt-0132","nt-people-0103","nt-people-0206","kinship","parent","directed","inactive","0.8","pending"
"asrt-0133","nt-people-0352","nt-people-0103","kinship","child","directed","inactive","0.8","pending"
"asrt-0134","nt-people-0063","nt-people-0106","kinship","child","directed","inactive","0.8","pending"
"asrt-0135","nt-people-0002","nt-people-0106","kinship","child","directed","inactive","0.8","pending"
"asrt-0136","nt-people-0316","nt-people-0106","kinship","child","directed","inactive","0.8","pending"
"asrt-0137","nt-people-0106","nt-people-0010","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0138","nt-people-0106","nt-people-0010","kinship","partner","undirected","inactive","0.8","pending"
"asrt-0139","nt-people-0107","nt-people-0082","kinship","partner","undirected","inactive","0.8","pending"
"asrt-0140","nt-people-0110","nt-people-0135","kinship","parent","directed","inactive","0.8","pending"
"asrt-0141","nt-people-0110","nt-people-0297","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0142","nt-people-0110","nt-people-0325","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0143","nt-people-0110","nt-people-0204","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0144","nt-people-0110","nt-people-0184","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0145","nt-people-0110","nt-people-0249","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0146","nt-people-0110","nt-people-0045","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0147","nt-people-0110","nt-people-0136","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0148","nt-people-0110","nt-people-0365","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0149","nt-people-0110","nt-people-0176","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0150","nt-people-0110","nt-people-0057","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0151","nt-people-0182","nt-people-0117","kinship","child","directed","inactive","0.8","pending"
"asrt-0152","nt-people-0118","nt-people-0007","kinship","partner","undirected","inactive","0.8","pending"
"asrt-0153","nt-people-0120","nt-people-0232","kinship","parent","directed","inactive","0.8","pending"
"asrt-0154","nt-people-0225","nt-people-0120","kinship","child","directed","inactive","0.8","pending"
"asrt-0155","nt-people-0305","nt-people-0120","kinship","child","directed","inactive","0.8","pending"
"asrt-0156","nt-people-0014","nt-people-0126","kinship","child","directed","inactive","0.8","pending"
"asrt-0157","nt-people-0126","nt-people-0127","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0158","nt-people-0126","nt-people-0037","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0159","nt-people-0126","nt-people-0278","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0160","nt-people-0126","nt-people-0127","kinship","partner","undirected","inactive","0.8","pending"
"asrt-0161","nt-people-0037","nt-people-0126","kinship","child","directed","inactive","0.8","pending"
"asrt-0162","nt-people-0278","nt-people-0126","kinship","child","directed","inactive","0.8","pending"
"asrt-0163","nt-people-0305","nt-people-0127","kinship","child","directed","inactive","0.8","pending"
"asrt-0164","nt-people-0127","nt-people-0126","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0165","nt-people-0127","nt-people-0126","kinship","partner","undirected","inactive","0.8","pending"
"asrt-0166","nt-people-0127","nt-people-0278","kinship","partner","undirected","inactive","0.8","pending"
"asrt-0167","nt-people-0129","nt-people-0015","kinship","parent","directed","inactive","0.8","pending"
"asrt-0168","nt-people-0218","nt-people-0129","kinship","child","directed","inactive","0.8","pending"
"asrt-0169","nt-people-0130","nt-people-0269","kinship","parent","directed","inactive","0.8","pending"
"asrt-0170","nt-people-0293","nt-people-0130","kinship","child","directed","inactive","0.8","pending"
"asrt-0171","nt-people-0133","nt-people-0007","kinship","parent","directed","inactive","0.8","pending"
"asrt-0172","nt-people-0133","nt-people-0309","kinship","parent","directed","inactive","0.8","pending"
"asrt-0173","nt-people-0100","nt-people-0133","kinship","child","directed","inactive","0.8","pending"
"asrt-0174","nt-people-0135","nt-people-0133","kinship","child","directed","inactive","0.8","pending"
"asrt-0175","nt-people-0133","nt-people-0294","kinship","partner","undirected","inactive","0.8","pending"
"asrt-0176","nt-people-0135","nt-people-0133","kinship","parent","directed","inactive","0.8","pending"
"asrt-0177","nt-people-0135","nt-people-0294","kinship","parent","directed","inactive","0.8","pending"
